"Numero_expedient","Codi_districte","Nom_districte","Codi_barri","Nom_barri","Codi_carrer","Nom_carrer","Num_postal_caption","Descripcio_dia_setmana","Dia_setmana","Descripcio_tipus_dia","NK_Any","Mes_any","Nom_mes","Dia_mes","Hora_dia","Descripcio_torn","Descripcio_tipus_accident","Coordenada_UTM_X","Coordenada_UTM_Y","Longitud","Latitud"
"2017S004767    ",1,"Ciutat Vella",2,"el Barri Gòtic",34308,"Rambla                                            ","0082 0082","Dimecres","Dc","Laboral",2017,5,"Maig",31,5,"Nit","Xoc contra element estàtic","430966.15","4581637.1","2.173259","41.381452"
"2017S004363    ",1,"Ciutat Vella",2,"el Barri Gòtic",34308,"Rambla / Portaferrissa                            ","0116 0116","Dimecres","Dc","Laboral",2017,5,"Maig",17,5,"Nit","Atropellament","430856.54","4581805.25","2.171924","41.382955"
"2017S000047    ",1,"Ciutat Vella",2,"el Barri Gòtic",144204,"PG COLOM                                          ","0046 0046","Dimarts","Dm","Laboral",2017,1,"Gener",3,11,"Matí","Atropellament","431567.82","4581584.78","2.180452","41.381026"
"2017S005382    ",1,"Ciutat Vella",2,"el Barri Gòtic",34308,"Rambla                                            ","0126 0126","Dilluns","Dl","Laboral",2017,6,"Juny",19,14,"Tarda","Col.lisió lateral","430803.52","4581931.86","2.171276","41.384086"
"2017S005313    ",1,"Ciutat Vella",2,"el Barri Gòtic",269108,"Portal de la Pau                                  ","0005 0005","Dissabte","Ds","Laboral",2017,6,"Juny",17,17,"Tarda","Col.lisió lateral","431339.87","4581091.78","2.177781","41.376566"
"2017S006572    ",1,"Ciutat Vella",2,"el Barri Gòtic",269108,"Colom / Portal de la Pau                          ","0005 0005","Divendres","Dv","Laboral",2017,7,"Juliol",28,13,"Matí","Col.lisió fronto-lateral","431339.87","4581091.78","2.177781","41.376566"
"2017S008609    ",1,"Ciutat Vella",2,"el Barri Gòtic",269108,"Portal de la Pau / Colom                          ","9998 9998","Dijous","Dj","Laboral",2017,10,"Octubre",19,17,"Tarda","Caiguda (dues rodes)","431336.79","4580997.41","2.177756","41.375719"
"2017S007021    ",1,"Ciutat Vella",2,"el Barri Gòtic",34308,"Rambla                                            ","0142 0142","Dimecres","Dc","Laboral",2017,8,"Agost",16,18,"Tarda","Atropellament","430733.97","4582078.42","2.170422","41.385404"
"2017S005328    ",1,"Ciutat Vella",2,"el Barri Gòtic",29400,"Avinyó                                            ","0030 0030","Diumenge","Dg","Laboral",2017,6,"Juny",18,0,"Nit","Abast","431305.89","4581564.47","2.177321","41.380823"
"2017S000413    ",1,"Ciutat Vella",2,"el Barri Gòtic",85706,"PG COLOM / Pl Antonio López                       ","0000 0000","Dilluns","Dl","Laboral",2017,1,"Gener",16,15,"Tarda","Abast","431440.46","4581687.48","2.178922","41.381943"
