Numero_expedient,Codi_districte,Nom_districte,Codi_barri,Nom_barri,Codi_carrer,Nom_carrer,Num_postal_caption,Descripcio_dia_setmana,Dia_setmana,Descripcio_tipus_dia,NK_Any,Mes_any,Nom_mes,Dia_mes,Hora_dia,Descripcio_torn,Descripcio_tipus_accident,Coordenada_UTM_X,Coordenada_UTM_Y,Longitud,Latitud
2019S005125    ,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",177101,Ramon Berenguer el Gran                           ,0,Dissabte,Ds,Laboral,2019,6,Juny,29,14,Tarda,Col.lisió lateral,431319.77 ,4581983.62,2.177358650863367,41.38462374064014
2019S000708    ,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",201400,Picasso / Fusina                                  ,,Dissabte,Ds,Laboral,2019,1,Gener,26,13,Matí,Col.lisió fronto-lateral,431869.11 ,4582242.95,2.1838989154408424,41.387006209801484
2019S004860    ,2,Eixample,9,la Nova Esquerra de l'Eixample,287201,Roma / Rocafort                                   ,,Dijous,Dj,Laboral,2019,6,Juny,20,23,Nit,Caiguda (dues rodes),428909.27 ,4581807.57,2.1485527273489278,41.3828284311879
2019S004803    ,2,Eixample,9,la Nova Esquerra de l'Eixample,349706,Comte d'Urgell                                    ,143,Dimecres,Dc,Laboral,2019,6,Juny,19,16,Tarda,Altres,429214.14 ,4582237.64,2.1521481728306404,41.38672880068473
2019S002838    ,2,Eixample,9,la Nova Esquerra de l'Eixample,350308,València / Comte d'Urgell                         ,,Dimecres,Dc,Laboral,2019,4,Abril,10,15,Tarda,Col.lisió lateral,429355.76 ,4582115.68,2.1538560685495622,41.385642828488656
2019S002892    ,2,Eixample,9,la Nova Esquerra de l'Eixample,110803,Entença / Roma                                    ,,Divendres,Dv,Laboral,2019,4,Abril,12,13,Matí,Caiguda (dues rodes),428787.04 ,4581740.07,2.1470989950939456,41.382209663847426
2019S006617    ,2,Eixample,9,la Nova Esquerra de l'Eixample,110803,Entença / Roma                                    ,,Diumenge,Dg,Laboral,2019,8,Agost,25,13,Matí,Col.lisió lateral,428787.04 ,4581740.07,2.1470989950939456,41.382209663847426
2019S001197    ,2,Eixample,9,la Nova Esquerra de l'Eixample,18505,Aragó                                             ,101-103   ,Dijous,Dj,Laboral,2019,2,Febrer,14,16,Tarda,Abast,429176.66 ,4581770.73,2.1517546015259303,41.38252024649715
2019S008164    ,2,Eixample,9,la Nova Esquerra de l'Eixample,18505,Aragó                                             ,90,Dimarts,Dm,Laboral,2019,10,Octubre,22,15,Tarda,Abast,429285.82 ,4581847.79,2.15305097108061,41.38322390782925
2019S000359    ,2,Eixample,9,la Nova Esquerra de l'Eixample,169409,Corts Catalanes                                   ,519,Dimarts,Dm,Laboral,2019,1,Gener,15,12,Matí,Col.lisió lateral,429685.87 ,4581709.01,2.157851100699334,41.38200908998442
2019S005781    ,2,Eixample,9,la Nova Esquerra de l'Eixample,169409,Corts Catalanes / Comte d'Urgell                  ,,Dissabte,Ds,Laboral,2019,7,Juliol,20,23,Nit,Col.lisió lateral,429737.74 ,4581724.85,2.158469538024597,41.38215629222793
2019S007167    ,2,Eixample,9,la Nova Esquerra de l'Eixample,169409,Comte d'Urgell / Corts Catalanes                  ,,Dimarts,Dm,Laboral,2019,9,Setembre,17,15,Tarda,Col.lisió lateral,429737.74 ,4581724.85,2.158469538024597,41.38215629222793
2019S009820    ,2,Eixample,9,la Nova Esquerra de l'Eixample,287201,Roma                                              ,49,Divendres,Dv,Laboral,2019,12,Desembre,20,13,Matí,Caiguda (dues rodes),428783.61 ,4581769.1 ,2.1470545614076557,41.3824708198754
2019S004966    ,2,Eixample,9,la Nova Esquerra de l'Eixample,110803,Entença                                           ,153,Dimarts,Dm,Laboral,2019,6,Juny,25,19,Tarda,Xoc contra element estàtic,428702.12 ,4581812.66,2.146074943394442,41.38285591715123
2019S002317    ,2,Eixample,9,la Nova Esquerra de l'Eixample,285807,Mallorca / Rocafort                               ,,Dilluns,Dl,Laboral,2019,3,Març,25,11,Matí,Col.lisió fronto-lateral,428879.49 ,4581838.15,2.1481930113853,41.38310121567745
2019S009937    ,2,Eixample,9,la Nova Esquerra de l'Eixample,18505,Aragó / Comte Borrell                             ,,Dimarts,Dm,Laboral,2019,12,Desembre,24,21,Tarda,Abast,429354.29 ,4581928.4 ,2.153860357474063,41.38395595076837
2019S008879    ,2,Eixample,9,la Nova Esquerra de l'Eixample,18505,Comte d'Urgell / Aragó                            ,,Dissabte,Ds,Laboral,2019,11,Novembre,16,23,Nit,Col.lisió frontal,429447.81 ,4582020.17,2.154968027842726,41.38479070176569
2019S000776    ,2,Eixample,9,la Nova Esquerra de l'Eixample,18505,Comte d'Urgell / Aragó                            ,,Dimarts,Dm,Laboral,2019,1,Gener,29,19,Tarda,Col.lisió lateral,429447.81 ,4582020.17,2.154968027842726,41.38479070176569
2019S002926    ,2,Eixample,9,la Nova Esquerra de l'Eixample,362001,Roma / Vilamarí                                   ,,Dissabte,Ds,Laboral,2019,4,Abril,13,19,Tarda,Col.lisió lateral,428666.7  ,4581674.2 ,2.145667699417557,41.381605726817405
2019S006416    ,2,Eixample,9,la Nova Esquerra de l'Eixample,18505,Aragó / Tarragona                                 ,,Dimarts,Dm,Laboral,2019,8,Agost,13,21,Tarda,Abast,428675.41 ,4581275.47,2.1458188495430286,41.378015319076034
2019S002240    ,2,Eixample,9,la Nova Esquerra de l'Eixample,18505,Aragó                                             ,23-27     ,Divendres,Dv,Laboral,2019,3,Març,22,12,Matí,Abast,428800.78 ,4581401.91,2.1473030894737053,41.379165226527704
2019S003027    ,2,Eixample,9,la Nova Esquerra de l'Eixample,18505,Viladomat / Aragó                                 ,,Dijous,Dj,Laboral,2019,4,Abril,18,19,Tarda,Col.lisió lateral,429257.37 ,4581833.72,2.152712396844049,41.38309468077856
2019S004604    ,2,Eixample,9,la Nova Esquerra de l'Eixample,87009,Comte Borrell / Consell de Cent                   ,,Dimecres,Dc,Laboral,2019,6,Juny,12,11,Matí,Caiguda (dues rodes),429445.97 ,4581832.84,2.1549678687935208,41.383103340660206
2019S004453    ,2,Eixample,9,la Nova Esquerra de l'Eixample,89004,Consell de Cent                                   ,82-84     ,Dijous,Dj,Laboral,2019,6,Juny,6,16,Tarda,Col.lisió fronto-lateral,429092.97 ,4581471.18,2.150788907017426,41.37981494989437
2019S005428    ,2,Eixample,9,la Nova Esquerra de l'Eixample,285807,Rocafort / Rosselló                               ,,Dimarts,Dm,Laboral,2019,7,Juliol,9,15,Tarda,Col.lisió fronto-lateral,428693,4582028.73,2.1459404177622865,41.38480115135006
2019S005473    ,2,Eixample,9,la Nova Esquerra de l'Eixample,287201,Roma / Vilamarí                                   ,,Dimecres,Dc,Laboral,2019,7,Juliol,10,22,Nit,Col.lisió fronto-lateral,428666.7  ,4581674.2 ,2.145667699417557,41.381605726817405
2019S008725    ,2,Eixample,9,la Nova Esquerra de l'Eixample,54509,Corts Catalanes / Calàbria                        ,,Diumenge,Dg,Laboral,2019,11,Novembre,10,21,Tarda,Caiguda interior vehicle,429450.52 ,4581444.1 ,2.1550676032153318,41.37960252716939
2019S001105    ,2,Eixample,9,la Nova Esquerra de l'Eixample,110803,Entença                                           ,212,Dilluns,Dl,Laboral,2019,2,Febrer,11,20,Tarda,Altres,428448.36 ,4582103.3 ,2.1430060075689132,41.385451015939616
2019S004986    ,2,Eixample,9,la Nova Esquerra de l'Eixample,162002,Josep Tarradellas / Entença                       ,,Dimarts,Dm,Laboral,2019,6,Juny,25,19,Tarda,Abast,428409.41 ,4582129,2.142537168200731,41.38567901354895
2019S006784    ,2,Eixample,9,la Nova Esquerra de l'Eixample,350308,Entença / València                                ,,Diumenge,Dg,Laboral,2019,9,Setembre,1,23,Nit,Col.lisió fronto-lateral,428876.92 ,4581648.35,2.1481845876276173,41.38139154494088
2019S008374    ,2,Eixample,9,la Nova Esquerra de l'Eixample,18505,Aragó / Vilamarí                                  ,,Dimarts,Dm,Laboral,2019,10,Octubre,29,20,Tarda,Col.lisió fronto-lateral,428875.47 ,4581460.32,2.1481893483049,41.3796979144514
2019S008516    ,2,Eixample,9,la Nova Esquerra de l'Eixample,18505,Aragó                                             ,71,Dilluns,Dl,Laboral,2019,11,Novembre,4,14,Tarda,Col.lisió lateral,429034.96 ,4581632.12,2.1500763575456943,41.381259343618225
